V1,V2,V3,V4,V5,V6
7255.0771484375,7261.6973,7317.134,7340.0835,7361.5605,7351.37
1654.291015625,1626.2759,1625.0593,1599.6134,1799.8818,1873.0918
8602.134765625,8846.832,9085.111,9279.245,9615.474,9812.727
9934.640625,10214.063,10482.355,10722.989,11094.301,11256.011
7145.8642578125,7479.3994,7819.8857,8125.412,8512.764,8696.537
4183.14990234375,4302.7974,4402.727,4579.031,4619.721,4630.405
3728.41552734375,3770.9985,3789.421,3914.986,3995.8457,4023.923
2406.9765625,2411.0117,2406.3442,2401.6428,2410.2239,2415.1555
2324.9677734375,2348.8457,2368.969,2396.068,2405.2747,2406.672
2318.171142578125,2319.3657,2305.439,2308.4634,2352.1313,2360.6506
1497.5311279296875,1507.3784,1516.1562,1530.428,1535.1633,1536.9507
2027.892578125,2083.405,2136.2563,2194.1733,2226.6326,2229.3804
4729.55712890625,4799.2344,4913.762,4944.1265,5032.032,5087.079
5124.79833984375,5196.663,5292.2905,5333.1826,5403.01,5477.5986
5456.7900390625,5590.6187,5751.891,5845.2085,6014.208,6205.948
2610.46826171875,2609.2537,2653.033,2649.878,2672.8809,2663.5273
3874.004638671875,3930.5005,4002.691,4038.0742,4086.8223,4149.908
3215.251708984375,3227.7473,3265.8538,3266.729,3288.062,3287.2756
3216.58740234375,3367.935,3531.8442,3813.8179,3861.3037,3874.3179
6612.22509765625,6715.9346,6858.3027,7028.9844,7070.3135,7072.369
9775.4501953125,10058.133,10417.863,10907.297,10981.413,10999.999
4467.2333984375,4489.7866,4473.941,4681.951,4824.877,4879.4116
9835.189453125,9691.856,9513.938,9684.682,10282.006,10439.304
8888.1494140625,8802.268,8550.979,8787.6875,9313.576,9386.339
2450.28759765625,2486.73,2523.0176,2638.7952,2661.7056,2674.7996
7504.083984375,7477.12,7481.855,7836.6133,8073.1133,8184.694
1799.6917724609375,1799.2607,1792.654,1872.396,1924.9949,1945.3386
1745.5206298828125,1737.9142,1728.0654,1789.5415,1849.634,1870.6578
4201.37646484375,4204.695,4197.0923,4235.674,4301.866,4322.207
4584.27880859375,4711.1865,4825.9663,4948.6895,5028.685,5039.241
3755.1171875,3777.292,3736.9868,3744.0808,3830.9705,3819.9353
5469.24462890625,5519.964,5559.356,5633.733,5664.0996,5673.492
1289.7056884765625,1312.9303,1334.8982,1355.7712,1372.3998,1373.942
1717.1214599609375,1739.0403,1757.7562,1779.3551,1793.9617,1794.5435
3450.16650390625,3503.6653,3548.4116,3619.619,3639.4917,3644.0845
1169.676513671875,1176.5172,1179.9514,1190.5105,1199.5305,1201.8564
4036.19970703125,4082.0796,4120.338,4201.4565,4228.8174,4239.7856
2402.3173828125,2734.167,3101.52,3100.8604,3541.5693,3163.2344
3833.759765625,3932.3386,3993.482,4053.7583,4080.9265,4135.726
4822.45703125,4925.735,5056.6206,5133.941,5218.418,5354.71
14856.318359375,15061.607,15303.812,15443.917,15569.789,15771.096
5918.79296875,6256.527,6611.933,6973.538,7346.7915,7457.2236
2965.084228515625,3110.1548,3263.4258,3399.2754,3602.337,3722.766
10354.873046875,10686.218,11049.518,11329.373,11752.79,12183.73
10280.9736328125,10554.727,10855.879,11084.349,11436.802,11802.491
6534.8857421875,6922.7646,7353.382,7744.005,8294.2,8563.832
6543.7734375,6932.5137,7363.838,7755.22,8305.826,8574.9375
6738.77001953125,6775.8076,6806.0957,6811.5654,6822.6475,6807.829
2517.051513671875,2540.7612,2566.0693,2583.3809,2611.3516,2640.5747
18651.560546875,18852.717,19072.738,19214.238,19436.016,19696.469
8201.373046875,8268.063,8345.781,8389.7,8443.759,8518.89
18073.818359375,19229.62,20302.246,21545.855,22360.762,22461.191
20285.400390625,21515.19,23010.178,25162.164,25614.309,25655.777
9161.28125,9899.842,10716.62,11598.453,12459.793,12712.862
2811.457763671875,3031.166,3265.513,3527.8179,3721.0923,3751.172
12447.9072265625,13548.948,14704.399,16007.851,16732.602,16771.21
2160.373291015625,2286.4119,2413.6655,2550.7012,2661.5083,2676.815
10239.2470703125,10429.663,10711.337,10861.725,11046.513,11322.0625
10119.1904296875,10233.673,10360.383,10465.848,10652.326,10827.0625
10233.3544921875,10470.535,10744.388,10947.928,11280.592,11627.6875
10016.9462890625,10107.675,9946.206,9949.535,10001.59,10263.296
10648.89453125,11091.684,11488.959,11871.646,12027.338,11698.17
10499.892578125,10879.869,11322.507,11597.04,12166.996,12917.287
13608.4365234375,13980.27,14391.013,14856.469,15513.639,15820.668
10792.42578125,11158.23,11598.752,11969.46,12817.01,13506.342
10411.3447265625,10732.606,11207.572,11677.081,12100.331,12183.177
10114.9453125,10174.967,10263.316,10311.769,10329.924,10341.906
10046.49609375,10093.431,10196.859,10260.705,10334.962,10339.06
10274.177734375,10529.671,10814.838,10998.74,11246.328,11542.245
9875.287109375,9985.986,10123.342,10109.349,10149.916,10375.099
10154.1728515625,10176.089,10210.555,10298.576,10369.664,10201.309
10443.28515625,10865.079,11310.269,11747.811,12277.404,12526.652
10403.423828125,10461.858,10720.478,10742.937,10766.828,10741.366
10185.53515625,10193.633,10372.551,10479.048,10412.152,10585.213
10147.95703125,10169.191,10231.851,10248.7705,10285.629,10323.624
10129.193359375,10206.988,10276.505,10364.174,10395.823,10447.723
10234.416015625,10529.131,10820.556,11121.644,11444.075,11667.528
10047.2900390625,10351.919,10721.558,10971.198,11295.3125,11692.172
4487.41943359375,4772.3687,4819.783,5358.4526,5491.036,5375.128
3597.700927734375,3642.2766,3941.1497,3932.3716,3506.9448,3469.1667
4583.94677734375,4806.471,5047.475,5264.2393,5572.618,5755.6836
10503.697265625,10340.951,10858.495,10834.998,11057.14,11390.358
9733.076171875,10056.222,10445.936,10725.562,11069.014,11541.3
3714.93994140625,3729.8394,3721.4675,3712.0193,3731.4382,3777.5444
1607.56201171875,1661.6987,1719.6819,1778.1902,1816.6946,1819.188
2597.751953125,2626.6316,2683.169,2691.5317,2709.5127,2720.7295
9972.2177734375,10094.38,10045.849,10328.449,10646.348,10274.913
9542.0947265625,9465.993,9514.131,9652.619,9476.463,9016.768
842.8421020507812,912.38367,1079.7656,1111.9664,1211.8706,1173.6522
6387.59521484375,6336.302,6298.661,6283.6333,6367.245,6181.283
8052.4912109375,8095.5894,8276.443,8472.623,8593.627,8640.641
1454.040283203125,1469.7559,1557.1234,1362.2225,1553.4822,1624.5386
8083.80126953125,8100.5273,8163.0127,8125.976,8167.189,8192.043
6680.533203125,6695.883,6703.1025,6706.2964,6713.4697,6680.201
6461.9296875,6467.361,6509.24,6510.375,6518.5195,6556.36
7364.2177734375,7406.865,7448.0273,7476.528,7485.057,7551.083
6435.4296875,6451.446,6465.3496,6475.1143,6489.2344,6498.0635
8804.7421875,8801.088,8828.665,8839.613,8803.372,8766.553
8144.02783203125,8164.5537,8180.657,8211.439,8203.403,8239.428
8300.7509765625,8326.159,8338.911,8404.8,8337.234,8454.396
1628.5933837890625,1644.5029,1627.4482,1691.7357,1634.5897,1741.2869
8958.822265625,8987.13,9031.738,9038.073,9102.409,9114.394
3635.31201171875,3601.817,3641.7222,3692.3518,3697.2534,3912.1785
1793.3670654296875,1814.6155,1833.8953,1848.6528,1850.8997,1874.3397
2060.734130859375,2058.3801,2057.6047,2079.7498,2075.5945,2086.138
2181.778564453125,2185.1165,2236.1145,2247.2913,2266.131,2244.2476
3086.63720703125,3060.1624,3148.4363,3210.8267,3200.1033,3219.0645
1132.184814453125,1121.2919,1120.9636,1138.584,1128.9211,1117.3826
2567.87646484375,2538.121,2592.5916,2593.0886,2593.188,2585.1057
2012.260498046875,2017.4976,2015.9493,2034.0774,2039.5796,2014.2933
2721.717529296875,2735.8872,2781.2898,2771.6692,2739.7295,2803.2827
1257.6370849609375,1271.7167,1302.4918,1289.5577,1291.2936,1287.573
1818.1298828125,1817.7959,1825.4824,1829.888,1829.7855,1819.5166
1855.33935546875,1842.4519,1854.4475,1846.1791,1850.1475,1793.7434
1656.4146728515625,1655.6101,1678.889,1680.5181,1691.8291,1723.3915
2189.170166015625,2179.4814,2210.2275,2187.8953,2207.3127,2178.9883
2135.455810546875,2113.1182,2114.6113,2129.9817,2140.5898,2149.3691
1879.4215087890625,1932.2333,1960.1202,1958.045,1959.2133,1972.5084
2493.278076171875,2495.795,2520.691,2520.031,2488.7546,2501.902
2134.7099609375,2168.3564,2199.004,2256.7744,2457.296,2384.8394
3784.8935546875,3741.9448,3600.2434,3728.6128,3583.712,3734.6936
2187.329345703125,2144.6187,2182.1455,2183.5935,2200.1433,2272.5767
2383.454345703125,2412.2615,2446.5688,2518.1008,2491.03,2557.3323
2517.19677734375,2616.499,2555.131,2644.7078,2597.68,2664.6501
7891.48193359375,7874.4434,7877.691,7887.6904,7869.957,7806.6504
4184.7060546875,4162.72,4327.62,4601.1064,4419.753,4418.9087
6962.40673828125,6963.437,7019.1006,6958.5317,6999.8604,6924.527
9519.8583984375,9494.845,9499.317,9514.208,9677.676,9657.231
3399.949951171875,3374.4626,3360.3906,3406.81,3401.8774,3289.8389
6759.97314453125,6794.3003,6819.8833,6818.0527,6830.992,6864.5938
8261.439453125,8271.343,8288.855,8322.541,8342.813,8355.461
7258.328125,7255.5596,7266.5684,7270.789,7272.4253,7273.867
4850.79052734375,5153.627,5464.201,5678.4443,5940.871,6165.3857
10999.0703125,11460.686,11933.396,12470.829,12942.831,13047.646
8768.52734375,9048.956,9462.13,9934.604,10188.678,10233.881
3431.688720703125,3609.626,3826.0015,4008.4463,4329.5464,4544.1025
3376.053955078125,3508.3203,3635.767,3759.0195,3918.5625,4019.023
11675.7314453125,11833.867,12027.729,12213.596,12363.827,12552.505
10306.08984375,10800.459,11221.278,11740.5625,12110.313,12197.988
6277.5849609375,6492.86,6709.636,6921.074,7141.727,7234.616
4339.65380859375,4516.75,4752.0635,4901.449,5206.617,5521.859
4821.6005859375,4765.951,4833.401,4750.0557,4869.4043,4923.399
4597.35498046875,4827.878,5069.5576,5322.807,5568.8916,5709.8696
5274.166015625,5484.5024,5655.923,5853.2393,5997.664,6034.677
13157.0703125,13891.403,14606.667,15286.605,16105.181,16405.906
8245.3251953125,8189.819,8631.148,8667.818,9183.6045,9020.139
2270.638916015625,2398.305,2523.5442,2647.0242,2800.1538,2861.9326
6834.3232421875,7011.5166,7160.643,7299.0513,7464.465,7590.503
2953.22412109375,3095.7214,3246.2188,3394.0664,3573.3477,3663.1543
8739.7861328125,8964.342,9233.415,9578.766,9676.207,9728.293
2008.0897216796875,2074.9973,2147.771,2184.7344,2255.3318,2346.9558
7782.2822265625,7973.8853,8131.142,8458.123,8364.2295,8821.867
10126.8984375,10235.531,10707.5205,11207.014,11578.38,11692.635
3274.220947265625,3242.5598,3311.9468,3318.0315,3320.7214,3313.7812
12261.94921875,12764.057,13278.554,13678.327,14190.763,14749.24
3352.15478515625,3478.2385,3601.4639,3726.2058,3874.7427,3937.5552
3178.745361328125,3343.207,3540.3794,3705.2957,3992.7183,4186.328
3372.888671875,3504.646,3631.7715,3754.8462,3913.8013,4016.3345
5317.46533203125,5570.8286,5878.9766,6202.03,6387.1816,6417.249
3069.6181640625,3146.0054,3220.2688,3310.189,3360.1028,3376.0386
9090.1103515625,9073.805,9077.709,9026.404,9229.425,9179.091
11814.724609375,12253.836,12615.948,13023.256,13467.543,13893.055
3061.1669921875,3195.174,3326.3523,3480.6753,3577.5933,3587.1836
7092.4091796875,7184.3066,7311.1313,7403.4053,7468.7764,7605.562
9957.1650390625,10421.678,10859.356,11332.487,11657.087,11819.02
15775.3193359375,16484.045,17576.25,18696.71,19341.688,19554.277
13680.0078125,14148.659,14697.651,15131.605,15782.47,16170.395
3393.3916015625,3513.602,3625.2122,3775.2808,3814.1338,3820.542
8802.763671875,9169.27,9630.519,10139.173,10531.628,10599.402
6539.5126953125,6800.5356,7056.6094,7362.295,7561.5527,7599.341
3228.31201171875,3352.0996,3509.939,3610.0444,3832.352,4001.0361
2123.33740234375,2135.1736,2152.3433,2182.9917,2160.2334,2162.6323
18558.9453125,18970.682,19329.508,19692.76,20166.781,20630.857
3282.364990234375,3380.9043,3479.2942,3550.6433,3651.3264,3772.2559
3590.486083984375,3606.7153,3626.1292,3651.035,3645.184,3677.9138
1124.364990234375,1123.5526,1127.849,1148.8739,1155.6807,1161.8107
4117.10302734375,4295.2236,4498.9404,4642.2407,4822.534,5046.453
1596.293212890625,1649.9967,1741.9277,1818.8096,1895.8975,1938.9851
1971.509033203125,1991.7275,2012.1356,2026.7656,2047.4938,2043.5577
4111.880859375,4245.466,4383.1104,4510.0225,4593.453,4636.1074
8962.986328125,9198.092,9546.107,9910.634,10279.251,10373.039
2236.1640625,2286.3816,2337.8188,2367.8667,2395.082,2438.7593
11672.2822265625,11961.313,12243.59,12514.9,12849.126,12983.037
2027.03271484375,2054.6116,2083.309,2109.4282,2146.1245,2168.518
1329.6861572265625,1326.8955,1326.187,1323.9551,1322.3728,1315.5123
2051.09033203125,2061.8486,2072.814,2080.0266,2090.3403,2103.4434
4603.39599609375,4631.761,4661.2783,4685.644,4722.3867,4754.4375
2220.29345703125,2219.209,2218.38,2218.9587,2218.8118,2214.4492
10042.7802734375,10176.467,10310.483,10419.821,10591.995,10731.251
7896.58740234375,7840.4497,7807.63,7838.466,7775.2173,8378.042
4400.3955078125,4461.06,4541.5176,4803.7773,4877.241,4895.627
5300.18505859375,5297.597,5298.5737,5299.1133,5315.9517,5305.8496
10968.83984375,11033.747,10736.63,10792.906,10803.259,10913.941
9318.4619140625,9299.909,9166.458,8841.506,9367.73,9434.445
12718.130859375,12496.181,12546.113,12406.018,13188.221,13319.045
10673.9765625,10646.387,10553.802,10253.173,10890.049,10896.073
3364.901611328125,3414.2124,3359.7893,3255.9426,3388.833,3400.8374
5594.99072265625,5779.457,5582.745,5533.634,5711.245,5660.5996
6782.26318359375,6864.4624,6796.5596,6838.934,6814.9824,6836.3794
4739.94384765625,4745.089,4903.0527,4834.4424,4878.2715,4876.5254
5335.93212890625,5309.217,5332.284,5540.069,5477.02,5855.3296
7998.419921875,8193.698,7967.5215,7937.119,8201.43,8163.6006
6148.36376953125,6137.9736,6208.0566,6530.0835,6917.5913,6615.8154
10881.40234375,10920.466,10602.642,10624.966,10709.35,10869.089
3157.30322265625,3090.4287,3161.6375,3286.0173,3225.303,3273.0654
4864.27587890625,4752.492,4776.0396,4734.004,4941.3643,5032.3213
3334.908935546875,3338.0642,3386.9536,3406.727,3407.7048,3453.3372
9318.6103515625,9309.383,9175.349,8882.308,9420.112,9427.96
7646.9814453125,7764.641,7809.018,7862.9536,8161.4844,8108.797
3052.439453125,3084.8923,3036.3076,2993.3267,3080.9175,3058.3467
5095.8955078125,4996.5054,5090.3613,4959.5146,5277.6724,5467.582
4748.7138671875,4753.818,4911.0938,4840.7344,4883.58,4879.672
4264.76025390625,4292.0396,4527.78,6603.3115,5817.114,6186.909
2964.46484375,2985.83,3014.482,3028.133,2985.3699,3029.2402
7666.642578125,7703.1777,7569.8774,7813.156,7873.3125,7737.3086
4885.1142578125,4851.7866,4906.368,4862.4365,4866.5967,4789.696
3063.564697265625,3102.0422,3077.4136,3068.2656,3025.659,3086.2913
8599.0546875,8518.416,8688.585,9624.032,10126.232,11866.285
1436.2296142578125,1442.896,1400.3451,1410.3601,1410.4401,1428.6105
8237.26953125,8576.79,8912.744,9270.922,9538.095,9564.082
11468.1591796875,11416.041,11293.247,11600.254,11496.26,11723.033
1553.6817626953125,1554.5592,1546.8519,1522.2719,1581.8435,1593.6593
9476.20703125,9691.865,9431.322,10030.644,9761.412,9626.678
7282.78759765625,7315.0977,7011.906,7569.629,7391.0664,8101.749
10805.767578125,10950.131,10882.022,10069.669,10546.872,10899.992
